dataset,method,bytes_per_vec,index_mb,compression,recall_at_k,recall_rerank,ms_per_query,qps,rerank_ms_per_query,encode_s
aniso,exact,512.0,51.2,1.0,1.0,1.0,0.1621,6170.5,0.0465,0.02
aniso,sq8,128.0,12.8,4.0,0.99,1.0,0.3374,2963.9,0.0358,0.04
aniso,sq4,64.0,6.4,8.0,0.8543,1.0,0.6822,1465.9,0.0387,0.04
aniso,rrot+sq4,64.0,6.4,8.0,0.8573,1.0,0.6269,1595.1,0.0351,0.08
aniso,pq,16.0,1.6,32.0,0.3592,0.8425,0.1319,7579.8,0.038,1.51
aniso,opq+pq,16.0,1.6,32.0,0.7061,0.996,0.1547,6462.7,0.0379,22.62
aniso,qjl-m512,66.0,6.6,7.8,0.6009,0.9844,0.4111,2432.7,0.0298,0.07
aniso,qjl-m1024,130.0,13.0,3.9,0.712,0.9993,0.6732,1485.4,0.0517,0.09
aniso,simhash-m512,64.0,6.4,8.0,0.2028,0.6244,0.3368,2969.4,0.0404,0.08
aniso,simhash-m1024,128.0,12.8,4.0,0.2486,0.7208,0.4359,2293.9,0.0407,0.13
iso,exact,512.0,51.2,1.0,1.0,1.0,0.1502,6658.9,0.036,0.02
iso,sq8,128.0,12.8,4.0,0.979,1.0,0.365,2739.7,0.0375,0.03
iso,sq4,64.0,6.4,8.0,0.7244,0.9999,0.6525,1532.5,0.0394,0.03
iso,rrot+sq4,64.0,6.4,8.0,0.7215,0.9999,0.6633,1507.6,0.0422,0.08
iso,pq,16.0,1.6,32.0,0.1926,0.546,0.156,6410.5,0.053,2.05
iso,opq+pq,16.0,1.6,32.0,0.1867,0.545,0.1616,6187.2,0.0391,23.72
iso,qjl-m512,66.0,6.6,7.8,0.2652,0.6991,0.4138,2416.6,0.0282,0.04
iso,qjl-m1024,130.0,13.0,3.9,0.414,0.8898,0.6506,1537.1,0.0357,0.07
iso,simhash-m512,64.0,6.4,8.0,0.1518,0.4604,0.2745,3642.7,0.0385,0.06
iso,simhash-m1024,128.0,12.8,4.0,0.2538,0.6859,0.4104,2436.9,0.0385,0.12
blobs,exact,512.0,51.2,1.0,1.0,1.0,0.1545,6473.7,0.0299,0.02
blobs,sq8,128.0,12.8,4.0,0.9637,1.0,0.3612,2768.8,0.0339,0.03
blobs,sq4,64.0,6.4,8.0,0.4881,0.9739,0.6105,1637.9,0.0318,0.04
blobs,rrot+sq4,64.0,6.4,8.0,0.4954,0.9703,0.6237,1603.4,0.033,0.08
blobs,pq,16.0,1.6,32.0,0.0571,0.3342,0.1333,7501.6,0.0306,2.03
blobs,opq+pq,16.0,1.6,32.0,0.0799,0.3417,0.1271,7866.3,0.0316,21.42
blobs,qjl-m512,66.0,6.6,7.8,0.6128,0.9934,0.4033,2479.5,0.0375,0.04
blobs,qjl-m1024,130.0,13.0,3.9,0.7067,0.9996,0.659,1517.5,0.0243,0.07
blobs,simhash-m512,64.0,6.4,8.0,0.0205,0.1482,0.2821,3544.6,0.0366,0.07
blobs,simhash-m1024,128.0,12.8,4.0,0.0246,0.178,0.4247,2354.3,0.0253,0.13
unit,exact,512.0,51.2,1.0,1.0,1.0,0.1717,5824.2,0.0371,0.02
unit,sq8,128.0,12.8,4.0,0.9872,1.0,0.365,2739.6,0.0369,0.03
unit,sq4,64.0,6.4,8.0,0.812,1.0,0.623,1605.2,0.0409,0.03
unit,rrot+sq4,64.0,6.4,8.0,0.8164,1.0,0.6629,1508.6,0.0391,0.08
unit,pq,16.0,1.6,32.0,0.4213,0.9214,0.1418,7051.4,0.0368,1.33
unit,opq+pq,16.0,1.6,32.0,0.6647,0.9976,0.1308,7646.2,0.0404,21.85
unit,qjl-m512,66.0,6.6,7.8,0.5414,0.9783,0.4038,2476.4,0.0382,0.04
unit,qjl-m1024,130.0,13.0,3.9,0.6669,0.9984,0.6668,1499.6,0.0294,0.08
unit,simhash-m512,64.0,6.4,8.0,0.4425,0.9258,0.256,3905.6,0.0242,0.07
unit,simhash-m1024,128.0,12.8,4.0,0.5861,0.9889,0.4097,2440.8,0.0271,0.12
mnist,exact,3136.0,216.4,1.0,1.0,1.0,0.3572,2799.9,0.1475,0.08
mnist,sq8,784.0,54.1,4.0,1.0,1.0,1.525,655.7,0.1033,0.12
mnist,sq4,392.0,27.0,8.0,0.742,1.0,2.4749,404.1,0.0996,0.14
mnist,rrot+sq4,392.0,27.0,8.0,0.9144,1.0,2.6054,383.8,0.1239,0.49
mnist,pq,56.0,3.9,56.0,0.8456,0.9997,0.3235,3091.0,0.0878,9.54
mnist,opq+pq,56.0,3.9,56.0,0.7542,0.9992,0.3484,2870.0,0.1057,235.03
mnist,qjl-m512,66.0,4.6,47.5,0.5555,0.9743,0.3214,3111.0,0.0732,0.11
mnist,qjl-m1024,130.0,9.0,24.1,0.6569,0.9912,0.489,2045.1,0.0736,0.19
mnist,simhash-m512,64.0,4.4,49.0,0.0377,0.1946,0.1917,5217.4,0.0897,0.11
mnist,simhash-m1024,128.0,8.8,24.5,0.0418,0.2092,0.3176,3148.9,0.0878,0.23
