head_dim,rotation,ms_p50,ms_p10,ms_p90
64,dense,0.04336,0.041782,0.056368
64,rht,0.822688,0.793795,0.832333
128,dense,0.043808,0.042742,0.049715
128,rht,0.91704,0.906918,0.932128
256,dense,0.057952,0.057046,0.064739
256,rht,1.046208,1.038266,1.052573
512,dense,0.11312,0.112157,0.116838
512,rht,1.140288,1.130045,1.162573
1024,dense,0.334544,0.332726,0.338186
1024,rht,1.235648,1.226134,1.259741
2048,dense,1.225776,1.224819,1.227712
2048,rht,1.395968,1.386541,1.62017
4096,dense,3.72704,3.708742,4.561997
4096,rht,3.479504,3.468624,3.488653
8192,dense,14.61944,14.594284,15.251558
8192,rht,7.280304,7.26471,7.290723
