ctx,rotation,residual_length,sink_length,eval_tokens,tf_kl,tf_kl_median,tf_kl_p95,tf_argmax_match,n_nonfinite,ppl_bf16,ppl_turbo,ppl_ratio,decode_ms_bf16,decode_ms_turbo,peak_mb_bf16,peak_mb_turbo
4096,rht,128,0,256,1.764082,1.429534,5.382833,0.5664,0,6.4998,38.6589,5.9477,24.255,152.281,1149.4,1115.9
4096,rht,128,4,256,1.79904,1.358437,5.008687,0.5664,0,6.4998,40.1405,6.1757,24.255,195.463,1149.4,1163.9
4096,none,128,0,256,4.115385,3.7819,10.073558,0.2695,0,6.4998,381.347,58.6706,24.255,68.328,1149.4,1115.9
4096,none,128,4,256,2.875223,2.400896,7.761287,0.4336,0,6.4998,115.8055,17.8168,24.255,68.403,1149.4,1163.9
4096,dense,128,0,256,2.462453,1.973924,6.600332,0.4609,0,6.4998,71.2795,10.9664,24.255,73.161,1149.4,1116.0
4096,dense,128,4,256,1.951763,1.453901,5.633649,0.5312,0,6.4998,45.0549,6.9317,24.255,73.286,1149.4,1164.0
8192,rht,128,0,256,7.2198,6.474449,14.059939,0.0625,0,6.6246,9198.3867,1388.5257,30.508,196.498,1341.0,1272.5
8192,rht,128,4,256,7.239819,6.51631,14.261268,0.0508,0,6.6246,9372.0742,1414.7444,30.508,195.812,1341.0,1369.1
8192,none,128,0,256,1.473283,1.006981,4.352493,0.6055,0,6.6246,29.2153,4.4101,30.508,68.497,1341.0,1272.5
8192,none,128,4,256,1.606059,1.17247,4.596663,0.5898,0,6.6246,32.9765,4.9779,30.508,68.469,1341.0,1369.1
8192,dense,128,0,256,2.026601,1.443427,5.591783,0.5586,0,6.6246,47.662,7.1947,30.508,73.043,1341.0,1272.5
8192,dense,128,4,256,1.824167,1.277637,5.408534,0.5703,0,6.6246,39.8027,6.0083,30.508,73.624,1341.0,1369.1
16384,rht,128,0,256,5.45288,4.840569,11.471642,0.1562,0,6.6696,1729.3009,259.2804,30.669,196.353,1723.1,1586.2
16384,rht,128,4,256,5.329333,4.670243,11.090373,0.168,0,6.6696,1505.7461,225.762,30.669,196.705,1723.1,1778.2
16384,none,128,0,256,5.071218,4.430788,10.331957,0.1914,0,6.6696,1108.0447,166.1332,30.669,68.618,1723.1,1586.2
16384,none,128,4,256,4.413395,3.613793,10.134258,0.2734,0,6.6696,566.8999,84.9974,30.669,68.588,1723.1,1778.2
16384,dense,128,0,256,5.20414,4.05057,12.898712,0.2266,0,6.6696,1254.6687,188.117,30.669,73.187,1723.1,1586.2
16384,dense,128,4,256,5.144113,4.008025,12.989964,0.2305,0,6.6696,1169.2418,175.3087,30.669,73.509,1723.1,1778.2
