ctx,rotation,residual_length,sink_length,key_quant,rope_mode,bf16_layers,key_outliers,value_group_size,corpus,eval_tokens,tf_kl,tf_kl_median,tf_kl_p95,tf_argmax_match,n_nonfinite,ppl_bf16,ppl_turbo,ppl_ratio,decode_ms_bf16,decode_ms_turbo,peak_mb_bf16,peak_mb_turbo
4096,none,128,0,per_token,post,0,0,0,wikitext,256,2.830672,2.295273,6.409181,0.3047,0,20.2149,315.1568,15.5903,24.51,53.933,1149.4,1115.9
4096,none,128,0,per_token,post,1,0,0,wikitext,256,0.496046,0.312191,1.627242,0.6445,0,20.2149,31.9116,1.5786,24.51,53.008,1149.4,1117.3
4096,none,128,0,per_token,post,2,0,0,wikitext,256,0.202143,0.135933,0.584802,0.7539,0,20.2149,24.7013,1.2219,24.51,51.663,1149.4,1118.7
4096,none,128,0,per_channel,post,0,0,0,wikitext,256,0.026663,0.014429,0.077168,0.8906,0,20.2149,20.5675,1.0174,24.51,46.033,1149.4,1115.2
4096,none,128,0,per_channel,post,1,0,0,wikitext,256,0.029003,0.016965,0.078943,0.8867,0,20.2149,21.4595,1.0616,24.51,45.771,1149.4,1116.7
4096,none,128,0,per_channel,post,2,0,0,wikitext,256,0.025605,0.014442,0.079098,0.8828,0,20.2149,21.3217,1.0548,24.51,44.891,1149.4,1118.1
8192,none,128,0,per_token,post,0,0,0,wikitext,256,3.880151,3.327853,9.645042,0.2695,0,4.2745,202.0224,47.2619,24.851,54.733,1341.0,1272.5
8192,none,128,0,per_token,post,1,0,0,wikitext,256,0.221904,0.117204,0.919708,0.7734,0,4.2745,5.6771,1.3281,24.851,53.707,1341.0,1275.3
8192,none,128,0,per_token,post,2,0,0,wikitext,256,0.123776,0.044309,0.46675,0.8516,0,4.2745,4.9543,1.159,24.851,51.958,1341.0,1278.2
8192,none,128,0,per_channel,post,0,0,0,wikitext,256,0.021494,0.008066,0.093786,0.9414,0,4.2745,4.4214,1.0344,24.851,46.226,1341.0,1271.1
8192,none,128,0,per_channel,post,1,0,0,wikitext,256,0.027749,0.008539,0.112473,0.9258,0,4.2745,4.3869,1.0263,24.851,45.802,1341.0,1273.9
8192,none,128,0,per_channel,post,2,0,0,wikitext,256,0.021677,0.009086,0.082744,0.9297,0,4.2745,4.518,1.057,24.851,45.291,1341.0,1276.8
16384,none,128,0,per_token,post,0,0,0,wikitext,256,4.135786,3.697474,9.826839,0.1953,0,9.5423,531.6385,55.7141,25.192,55.124,1723.1,1586.2
16384,none,128,0,per_token,post,1,0,0,wikitext,256,0.358064,0.235756,1.136389,0.7383,0,9.5423,12.7457,1.3357,25.192,54.138,1723.1,1591.9
16384,none,128,0,per_token,post,2,0,0,wikitext,256,0.219711,0.137329,0.824564,0.7891,0,9.5423,12.2151,1.2801,25.192,54.656,1723.1,1597.6
16384,none,128,0,per_channel,post,0,0,0,wikitext,256,0.062625,0.03009,0.237049,0.8633,0,9.5423,9.6128,1.0074,25.192,47.131,1723.1,1583.2
16384,none,128,0,per_channel,post,1,0,0,wikitext,256,0.067787,0.032626,0.24262,0.8281,0,9.5423,10.107,1.0592,25.192,46.025,1723.1,1589.1
16384,none,128,0,per_channel,post,2,0,0,wikitext,256,0.055532,0.027274,0.204821,0.8594,0,9.5423,10.0831,1.0567,25.192,45.077,1723.1,1594.9
