ctx,rotation,residual_length,sink_length,key_quant,rope_mode,bf16_layers,key_outliers,value_group_size,qjl_m,qjl_outliers,corpus,eval_tokens,tf_kl,tf_kl_median,tf_kl_p95,tf_argmax_match,n_nonfinite,ppl_bf16,ppl_turbo,ppl_ratio,decode_ms_bf16,decode_ms_turbo,peak_mb_bf16,peak_mb_turbo
4096,none,128,0,per_token,post,0,0,0,0,0,wikitext,256,2.830672,2.295273,6.409181,0.3047,0,20.2149,315.1568,15.5903,24.678,53.755,1149.4,1115.9
4096,none,128,0,per_channel,post,0,0,0,0,0,wikitext,256,0.026663,0.014429,0.077168,0.8906,0,20.2149,20.5675,1.0174,24.678,45.962,1149.4,1115.2
4096,none,128,0,qjl,post,0,0,0,256,0,wikitext,256,5.507382,5.004254,10.972986,0.0938,0,20.2149,4654.6211,230.2571,24.678,54.903,1149.4,3337.0
4096,none,128,0,qjl,post,0,0,0,256,8,wikitext,256,4.113582,3.751011,8.308133,0.1758,0,20.2149,1188.6547,58.801,24.678,62.865,1149.4,3344.8
4096,none,128,0,qjl,post,0,0,0,512,0,wikitext,256,5.757295,5.273906,11.209981,0.0742,0,20.2149,5807.666,287.2965,24.678,55.346,1149.4,3420.7
4096,none,128,0,qjl,post,0,0,0,512,8,wikitext,256,3.83587,3.495508,8.065595,0.1719,0,20.2149,846.7431,41.8871,24.678,63.215,1149.4,3429.2
4096,rht,128,0,per_token,post,0,0,0,0,0,wikitext,256,2.823652,2.386217,6.589916,0.2812,0,20.2149,327.7797,16.2148,24.678,153.981,1149.4,1115.9
4096,rht,128,0,per_channel,post,0,0,0,0,0,wikitext,256,0.430035,0.251274,1.558053,0.7031,0,20.2149,31.1471,1.5408,24.678,189.208,1149.4,1115.2
4096,rht,128,0,qjl,post,0,0,0,256,0,wikitext,256,5.886262,5.168107,12.322232,0.0234,0,20.2149,7099.8936,351.2211,24.678,199.366,1149.4,3337.0
4096,rht,128,0,qjl,post,0,0,0,256,8,wikitext,256,5.512935,4.907624,11.246421,0.0859,0,20.2149,5554.0728,274.7517,24.678,210.211,1149.4,3344.8
4096,rht,128,0,qjl,post,0,0,0,512,0,wikitext,256,4.578772,4.170693,9.383658,0.125,0,20.2149,1950.2422,96.4756,24.678,200.828,1149.4,3420.7
4096,rht,128,0,qjl,post,0,0,0,512,8,wikitext,256,4.444121,3.869898,8.812407,0.1602,0,20.2149,1454.6232,71.958,24.678,210.505,1149.4,3429.1
8192,none,128,0,per_token,post,0,0,0,0,0,wikitext,256,3.880151,3.327853,9.645042,0.2695,0,4.2745,202.0224,47.2619,32.107,71.551,1341.0,1272.5
8192,none,128,0,per_channel,post,0,0,0,0,0,wikitext,256,0.021494,0.008066,0.093786,0.9414,0,4.2745,4.4214,1.0344,32.107,60.398,1341.0,1271.1
8192,none,128,0,qjl,post,0,0,0,256,0,wikitext,256,7.66676,7.475807,15.655728,0.0391,0,4.2745,9899.6191,2315.9543,32.107,70.928,1341.0,5734.4
8192,none,128,0,qjl,post,0,0,0,256,8,wikitext,256,5.22922,4.598487,12.327561,0.0898,0,4.2745,919.8105,215.184,32.107,81.727,1341.0,5750.3
8192,none,128,0,qjl,post,0,0,0,512,0,wikitext,256,6.346775,5.292478,14.150742,0.1055,0,4.2745,2253.9854,527.3058,32.107,86.605,1341.0,5873.0
8192,none,128,0,qjl,post,0,0,0,512,8,wikitext,256,4.810489,3.766147,12.232017,0.2227,0,4.2745,486.7334,113.8682,32.107,98.523,1341.0,5889.2
8192,rht,128,0,per_token,post,0,0,0,0,0,wikitext,256,3.975584,2.989333,10.531336,0.2773,0,4.2745,243.1392,56.8809,32.107,216.837,1341.0,1272.5
8192,rht,128,0,per_channel,post,0,0,0,0,0,wikitext,256,0.349734,0.167011,1.408554,0.7344,0,4.2745,6.1875,1.4475,32.107,202.615,1341.0,1271.1
8192,rht,128,0,qjl,post,0,0,0,256,0,wikitext,256,6.187752,5.292312,13.467679,0.0547,0,4.2745,2264.8442,529.8462,32.107,214.255,1341.0,5735.1
8192,rht,128,0,qjl,post,0,0,0,256,8,wikitext,256,6.482891,5.466333,15.039922,0.0547,0,4.2745,2989.2622,699.3193,32.107,232.558,1341.0,5750.5
