ctx,rotation,residual_length,sink_length,key_quant,rope_mode,bf16_layers,key_outliers,value_group_size,corpus,eval_tokens,tf_kl,tf_kl_median,tf_kl_p95,tf_argmax_match,n_nonfinite,ppl_bf16,ppl_turbo,ppl_ratio,decode_ms_bf16,decode_ms_turbo,peak_mb_bf16,peak_mb_turbo
4096,none,128,0,per_token,post,0,0,0,wikitext,256,2.830672,2.295273,6.409181,0.3047,0,20.2149,315.1568,15.5903,22.435,48.748,1149.4,1115.9
4096,none,128,0,per_channel,post,0,0,0,wikitext,256,0.026663,0.014429,0.077168,0.8906,0,20.2149,20.5675,1.0174,22.435,41.991,1149.4,1115.2
4096,none,128,4,per_token,post,0,0,0,wikitext,256,2.789783,2.312752,6.55487,0.293,0,20.2149,317.2074,15.6918,22.435,48.888,1149.4,1163.9
4096,none,128,4,per_channel,post,0,0,0,wikitext,256,0.011167,0.005274,0.032993,0.9414,0,20.2149,20.5174,1.015,22.435,41.59,1149.4,1163.2
4096,none,128,16,per_token,post,0,0,0,wikitext,256,2.992506,2.57547,6.391364,0.2578,0,20.2149,371.798,18.3923,22.435,48.875,1149.4,1163.9
4096,none,128,16,per_channel,post,0,0,0,wikitext,256,0.010521,0.004573,0.030147,0.9531,0,20.2149,20.5576,1.017,22.435,41.696,1149.4,1163.2
8192,none,128,0,per_token,post,0,0,0,wikitext,256,3.880151,3.327853,9.645042,0.2695,0,4.2745,202.0224,47.2619,22.511,48.849,1341.0,1272.5
8192,none,128,0,per_channel,post,0,0,0,wikitext,256,0.021494,0.008066,0.093786,0.9414,0,4.2745,4.4214,1.0344,22.511,41.92,1341.0,1271.1
8192,none,128,4,per_token,post,0,0,0,wikitext,256,3.87502,3.139722,10.370749,0.2852,0,4.2745,202.3861,47.347,22.511,48.885,1341.0,1369.1
8192,none,128,4,per_channel,post,0,0,0,wikitext,256,0.014589,0.00415,0.045648,0.9219,0,4.2745,4.3524,1.0182,22.511,41.703,1341.0,1367.6
8192,none,128,16,per_token,post,0,0,0,wikitext,256,3.889688,3.318534,9.559866,0.2695,0,4.2745,204.3977,47.8176,22.511,49.131,1341.0,1369.0
8192,none,128,16,per_channel,post,0,0,0,wikitext,256,0.01262,0.004643,0.05675,0.9531,0,4.2745,4.3309,1.0132,22.511,41.983,1341.0,1367.6
16384,none,128,0,per_token,post,0,0,0,wikitext,256,4.135786,3.697474,9.826839,0.1953,0,9.5423,531.6385,55.7141,22.605,49.026,1723.1,1586.2
16384,none,128,0,per_channel,post,0,0,0,wikitext,256,0.062625,0.03009,0.237049,0.8633,0,9.5423,9.6128,1.0074,22.605,42.124,1723.1,1583.2
16384,none,128,4,per_token,post,0,0,0,wikitext,256,3.925872,3.485608,9.117173,0.1953,0,9.5423,446.8355,46.827,22.605,48.919,1723.1,1778.2
16384,none,128,4,per_channel,post,0,0,0,wikitext,256,0.03827,0.011669,0.136695,0.8906,0,9.5423,9.9564,1.0434,22.605,41.825,1723.1,1775.2
16384,none,128,16,per_token,post,0,0,0,wikitext,256,4.014877,3.641887,9.155609,0.2266,0,9.5423,458.5815,48.0579,22.605,49.04,1723.1,1778.1
16384,none,128,16,per_channel,post,0,0,0,wikitext,256,0.035529,0.012922,0.148853,0.8867,0,9.5423,9.6216,1.0083,22.605,41.674,1723.1,1775.2
