op,nq,nk,relerr_tc,relerr_m5,tc_ms,tc_p10,tc_p90,m5_ms,bf16_ms,speedup_vs_m5,speedup_vs_bf16,tc_peak_mb,m5_peak_mb,ref_peak_mb,tc_gbs
logits,1,1024,0.002254,1e-06,0.1136,0.1046,0.1428,0.1421,0.0096,1.251,0.085,8.549,8.553,9.298,0.4
logits,16,1024,0.002349,0.0,0.1082,0.1032,0.1436,0.1345,0.0094,1.243,0.087,8.674,8.737,9.42,1.0
logits,64,1024,0.002372,0.0,0.1078,0.103,0.1428,0.1374,0.0086,1.274,0.08,9.078,9.329,9.812,3.0
logits,256,1024,0.002346,0.0,0.1053,0.1,0.1404,0.1342,0.0105,1.275,0.099,10.695,11.696,12.133,11.0
logits,1,4096,0.002259,0.0,0.1071,0.1034,0.1488,0.1315,0.0088,1.228,0.082,9.814,9.831,12.813,1.7
logits,16,4096,0.002333,0.0,0.1072,0.104,0.1379,0.1334,0.0094,1.244,0.088,10.291,10.542,13.287,4.0
logits,64,4096,0.002338,0.0,0.1064,0.1028,0.1358,0.129,0.0095,1.213,0.089,11.82,12.821,14.805,11.6
logits,256,4096,0.002356,0.0,0.1114,0.1044,0.1452,0.1349,0.0116,1.211,0.104,17.938,21.938,23.875,39.7
logits,1,16384,0.001979,1e-06,0.1041,0.1001,0.145,0.133,0.0147,1.278,0.141,14.877,14.94,26.876,6.9
logits,16,16384,0.002325,0.0,0.1051,0.1002,0.1388,0.1335,0.011,1.271,0.104,16.76,17.76,28.756,16.3
logits,64,16384,0.00234,0.0,0.1057,0.1014,0.1383,0.1362,0.0122,1.288,0.116,22.789,26.79,34.773,46.0
logits,256,16384,0.002356,0.0,0.106,0.1012,0.1368,0.1415,0.0223,1.335,0.211,46.906,62.907,70.844,165.1
