ctx,rotation,layer,attn_out_relerr
4096,rht,0,0.027195
4096,rht,1,0.033053
4096,rht,2,0.039844
4096,rht,3,0.037728
4096,rht,4,0.040165
4096,rht,5,0.035149
4096,rht,6,0.025393
4096,rht,7,0.039117
4096,rht,8,0.024801
4096,rht,9,0.055172
4096,rht,10,0.027411
4096,rht,11,0.034786
4096,rht,12,0.051105
4096,rht,13,0.041103
4096,rht,14,0.03637
4096,rht,15,0.031766
4096,rht,16,0.038521
4096,rht,17,0.01926
4096,rht,18,0.049248
4096,rht,19,0.039636
4096,rht,20,0.024073
4096,rht,21,0.027156
4096,rht,22,0.04908
4096,rht,23,0.013095
4096,none,0,0.0
4096,none,1,0.0
4096,none,2,0.0
4096,none,3,0.0
4096,none,4,0.0
4096,none,5,0.0
4096,none,6,0.0
4096,none,7,0.0
4096,none,8,0.0
4096,none,9,0.0
4096,none,10,0.0
4096,none,11,0.0
4096,none,12,0.0
4096,none,13,0.0
4096,none,14,0.0
4096,none,15,0.0
4096,none,16,0.0
4096,none,17,0.0
4096,none,18,0.0
4096,none,19,0.0
4096,none,20,0.0
4096,none,21,0.0
4096,none,22,0.0
4096,none,23,0.0
4096,dense,0,0.099102
4096,dense,1,0.055074
4096,dense,2,0.084583
4096,dense,3,0.04964
4096,dense,4,0.078313
4096,dense,5,0.064821
4096,dense,6,0.054509
4096,dense,7,0.041998
4096,dense,8,0.043516
4096,dense,9,0.0605
4096,dense,10,0.028915
4096,dense,11,0.028673
4096,dense,12,0.042306
4096,dense,13,0.028295
4096,dense,14,0.045203
4096,dense,15,0.029701
4096,dense,16,0.026623
4096,dense,17,0.020906
4096,dense,18,0.023756
4096,dense,19,0.034602
4096,dense,20,0.029386
4096,dense,21,0.02447
4096,dense,22,0.025828
4096,dense,23,0.012316
8192,rht,0,0.039409
8192,rht,1,0.036056
8192,rht,2,0.039368
8192,rht,3,0.035439
8192,rht,4,0.039843
8192,rht,5,0.035885
8192,rht,6,0.047102
8192,rht,7,0.044596
8192,rht,8,0.034905
8192,rht,9,0.044088
8192,rht,10,0.026505
8192,rht,11,0.034064
8192,rht,12,0.025306
8192,rht,13,0.032129
8192,rht,14,0.038215
8192,rht,15,0.035047
8192,rht,16,0.026928
8192,rht,17,0.024563
8192,rht,18,0.040219
8192,rht,19,0.028753
8192,rht,20,0.015835
8192,rht,21,0.019829
8192,rht,22,0.025862
8192,rht,23,0.019738
8192,none,0,0.0
8192,none,1,0.0
8192,none,2,0.0
8192,none,3,0.0
8192,none,4,0.0
8192,none,5,0.0
8192,none,6,0.0
8192,none,7,0.0
8192,none,8,0.0
8192,none,9,0.0
8192,none,10,0.0
8192,none,11,0.0
8192,none,12,0.0
8192,none,13,0.0
8192,none,14,0.0
8192,none,15,0.0
8192,none,16,0.0
8192,none,17,0.0
8192,none,18,0.0
8192,none,19,0.0
8192,none,20,0.0
8192,none,21,0.0
8192,none,22,0.0
8192,none,23,0.0
8192,dense,0,0.037183
8192,dense,1,0.029091
8192,dense,2,0.051568
8192,dense,3,0.042613
8192,dense,4,0.044096
8192,dense,5,0.04596
8192,dense,6,0.039546
8192,dense,7,0.040714
8192,dense,8,0.026966
8192,dense,9,0.041739
8192,dense,10,0.020256
8192,dense,11,0.026308
8192,dense,12,0.029478
8192,dense,13,0.029338
8192,dense,14,0.03915
8192,dense,15,0.02238
8192,dense,16,0.030311
8192,dense,17,0.019343
8192,dense,18,0.028117
8192,dense,19,0.03552
8192,dense,20,0.021271
8192,dense,21,0.020195
8192,dense,22,0.026307
8192,dense,23,0.011679
16384,rht,0,0.055644
16384,rht,1,0.02778
16384,rht,2,0.056888
16384,rht,3,0.048793
16384,rht,4,0.052906
16384,rht,5,0.044028
16384,rht,6,0.036175
16384,rht,7,0.037338
16384,rht,8,0.03051
16384,rht,9,0.044706
16384,rht,10,0.023156
16384,rht,11,0.031519
16384,rht,12,0.026273
16384,rht,13,0.033807
16384,rht,14,0.042076
16384,rht,15,0.027016
16384,rht,16,0.039527
16384,rht,17,0.03185
16384,rht,18,0.032235
16384,rht,19,0.031954
16384,rht,20,0.030575
16384,rht,21,0.022964
16384,rht,22,0.02586
16384,rht,23,0.011581
16384,none,0,0.0
16384,none,1,0.0
16384,none,2,0.0
16384,none,3,0.0
16384,none,4,0.0
16384,none,5,0.0
16384,none,6,0.0
16384,none,7,0.0
16384,none,8,0.0
16384,none,9,0.0
16384,none,10,0.0
16384,none,11,0.0
16384,none,12,0.0
16384,none,13,0.0
16384,none,14,0.0
16384,none,15,0.0
16384,none,16,0.0
16384,none,17,0.0
16384,none,18,0.0
16384,none,19,0.0
16384,none,20,0.0
16384,none,21,0.0
16384,none,22,0.0
16384,none,23,0.0
16384,dense,0,0.025129
16384,dense,1,0.033668
16384,dense,2,0.067373
16384,dense,3,0.064826
16384,dense,4,0.054101
16384,dense,5,0.058383
16384,dense,6,0.040974
16384,dense,7,0.04997
16384,dense,8,0.040998
16384,dense,9,0.058422
16384,dense,10,0.025598
16384,dense,11,0.049942
16384,dense,12,0.039666
16384,dense,13,0.042428
16384,dense,14,0.039339
16384,dense,15,0.025706
16384,dense,16,0.030784
16384,dense,17,0.019149
16384,dense,18,0.032631
16384,dense,19,0.033836
16384,dense,20,0.018933
16384,dense,21,0.022285
16384,dense,22,0.025017
16384,dense,23,0.015493
