op,cuda_us,pct
aten::cat,5183.0,13.89
"void at::native::elementwise_kernel<128, 2, at::",4039.0,10.83
"void at::native::elementwise_kernel<128, 2, at::",3494.0,9.37
aten::copy_,3188.0,8.55
aten::add,2355.0,6.31
aten::sub,1949.0,5.22
cudaLaunchKernel,1511.0,4.05
aten::mm,1212.0,3.25
aten::mul,1162.0,3.11
void at::native::unrolled_elementwise_kernel<at:,981.0,2.63
"std::enable_if<!(false), void>::type internal::g",934.0,2.5
"void at::native::elementwise_kernel<128, 4, at::",907.0,2.43
void at::native::(anonymous namespace)::CatArray,893.0,2.39
void at::native::unrolled_elementwise_kernel<at:,835.0,2.24
"void at::native::elementwise_kernel<128, 2, at::",772.0,2.07
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stage,710.0,1.9
aten::_flash_attention_forward,499.0,1.34
aten::addmm,432.0,1.16
aten::div,432.0,1.16
void pytorch_flash::flash_fwd_splitkv_kernel<pyt,402.0,1.08
