layer,rotation,bits,method,sketch_m,realized_bits,ip_bias,ip_abs_bias,ip_rmse,attn_kl
0,rht,2.0,mse-only,0,2.0,327.138824,327.138824,617.37085,129.012512
0,rht,2.0,prod-1b,64,2.25,298.63916,298.63916,999.964661,265.984436
0,rht,2.0,prod-2b,128,3.25,-170.141281,170.141281,516.185425,136.356979
0,rht,2.0,prod-4b,256,5.25,-456.430359,456.430359,579.919983,94.819298
0,rht,2.5,mse-only,0,2.585,-110.219315,110.219315,252.050491,61.902332
0,rht,2.5,prod-1b,64,2.835,622.611084,622.611084,645.179321,33.346924
0,rht,2.5,prod-2b,128,3.835,-364.705078,364.705078,379.591522,19.780977
0,rht,2.5,prod-4b,256,5.835,671.961731,671.961731,679.459595,11.363155
0,rht,3.0,mse-only,0,3.0,-259.381744,259.381744,361.47168,55.325619
0,rht,3.0,prod-1b,64,3.25,-855.556824,855.556824,927.709412,72.881287
0,rht,3.0,prod-2b,128,4.25,-507.094452,507.094452,573.528625,51.568161
0,rht,3.0,prod-4b,256,6.25,62.683876,62.683876,187.287582,53.151478
0,rht,3.5,mse-only,0,3.4594,-120.937309,120.937309,173.771362,31.390717
0,rht,3.5,prod-1b,64,3.835,-641.862122,641.862122,664.929138,44.609985
0,rht,3.5,prod-2b,128,4.835,-132.89444,132.89444,250.999603,50.95089
0,rht,3.5,prod-4b,256,6.835,-107.667885,107.667885,157.895935,27.710379
0,rht,4.0,mse-only,0,4.0,-166.22113,166.22113,209.755493,34.321922
0,rht,4.0,prod-1b,64,4.25,-4.459655,4.459655,107.437645,31.058331
0,rht,4.0,prod-2b,128,5.25,-291.222717,291.222717,319.199158,33.658924
0,rht,4.0,prod-4b,256,7.25,65.532738,65.532738,111.596008,21.096846
0,none,2.0,mse-only,0,2.0,-2582.958252,2582.958252,2584.552979,1.309994
0,none,2.0,prod-1b,64,2.25,1169.669189,1169.669189,1560.740967,42.603451
0,none,2.0,prod-2b,128,3.25,-2849.519043,2849.519043,3111.41333,498.531525
0,none,2.0,prod-4b,256,5.25,-3261.73584,3261.73584,3394.369629,372.814514
0,none,2.5,mse-only,0,2.585,-1565.955566,1565.955566,1566.54541,1.069377
0,none,2.5,prod-1b,64,2.835,-643.152161,643.152161,681.477966,22.809263
0,none,2.5,prod-2b,128,3.835,-90.81131,90.81131,155.309769,27.569954
0,none,2.5,prod-4b,256,5.835,-1795.572754,1795.572754,1797.655762,16.56465
0,none,3.0,mse-only,0,3.0,-1078.29248,1078.29248,1078.912598,1.176791
0,none,3.0,prod-1b,64,3.25,1001.887939,1001.887939,1164.223511,94.756439
0,none,3.0,prod-2b,128,4.25,-591.216492,591.216492,713.473816,65.537216
0,none,3.0,prod-4b,256,6.25,15.131712,15.131712,217.238144,43.357342
0,none,3.5,mse-only,0,3.4594,462.309662,462.309662,466.697388,8.591182
0,none,3.5,prod-1b,64,3.835,346.793579,346.793579,363.900696,42.96701
0,none,3.5,prod-2b,128,4.835,-698.027527,698.027527,750.547119,109.737762
0,none,3.5,prod-4b,256,6.835,-471.973083,471.973083,500.162262,59.95343
0,none,4.0,mse-only,0,4.0,-324.817383,324.817383,325.070404,0.784522
0,none,4.0,prod-1b,64,4.25,952.889893,952.889893,1144.770142,43.089848
0,none,4.0,prod-2b,128,5.25,-416.0625,416.0625,492.74408,24.538826
0,none,4.0,prod-4b,256,7.25,293.520325,293.520325,336.638733,13.008091
6,rht,2.0,mse-only,0,2.0,1.297064,1.297064,9.84563,0.701446
6,rht,2.0,prod-1b,64,2.25,-3.364035,3.364035,41.94582,8.262158
6,rht,2.0,prod-2b,128,3.25,0.962259,0.962259,26.712456,4.294112
6,rht,2.0,prod-4b,256,5.25,-2.029879,2.029879,19.710117,2.297878
6,rht,2.5,mse-only,0,2.585,0.005941,0.005941,5.99461,0.20492
6,rht,2.5,prod-1b,64,2.835,-0.80084,0.80084,17.921679,1.508906
6,rht,2.5,prod-2b,128,3.835,0.416274,0.416274,12.511717,0.850622
6,rht,2.5,prod-4b,256,5.835,0.706735,0.706735,9.726487,0.603349
6,rht,3.0,mse-only,0,3.0,0.164256,0.164256,4.404426,0.108221
6,rht,3.0,prod-1b,64,3.25,0.221128,0.221128,12.987423,1.249199
6,rht,3.0,prod-2b,128,4.25,0.032265,0.032265,8.286621,0.532265
6,rht,3.0,prod-4b,256,6.25,-0.929425,0.929425,5.814928,0.233707
6,rht,3.5,mse-only,0,3.4594,-0.138775,0.138775,3.086577,0.043817
6,rht,3.5,prod-1b,64,3.835,0.497795,0.497795,8.258142,0.59544
6,rht,3.5,prod-2b,128,4.835,0.433544,0.433544,5.10495,0.18216
