rotation,method,ip_err
rht,mse-only,-502.14502
rht,mse-only,-229.830933
rht,mse-only,-515.16217
rht,mse-only,-268.56427
rht,mse-only,-293.026367
rht,mse-only,-228.252319
rht,mse-only,-228.027222
rht,mse-only,-237.160278
rht,mse-only,215.337036
rht,mse-only,166.270874
rht,mse-only,-214.647217
rht,mse-only,209.233887
rht,mse-only,-293.705872
rht,mse-only,-234.341919
rht,mse-only,219.949951
rht,mse-only,-224.338013
rht,mse-only,-534.59021
rht,mse-only,-238.792847
rht,mse-only,199.882812
rht,mse-only,-661.003174
rht,mse-only,-259.936829
rht,mse-only,194.77356
rht,mse-only,-223.620361
rht,mse-only,-703.714783
rht,mse-only,-234.03125
rht,mse-only,-533.256287
rht,mse-only,-217.375732
rht,mse-only,-219.318726
rht,mse-only,-231.408447
rht,mse-only,-237.856323
rht,mse-only,213.42981
rht,mse-only,-263.305725
rht,mse-only,-233.449585
rht,mse-only,-226.016357
rht,mse-only,-241.27832
rht,mse-only,-236.132935
rht,mse-only,-224.571533
rht,mse-only,-453.787903
rht,mse-only,210.496704
rht,mse-only,-222.945435
rht,mse-only,-222.063965
rht,mse-only,201.600708
rht,mse-only,-513.136353
rht,mse-only,-530.938538
rht,mse-only,-277.811218
rht,mse-only,-264.189941
rht,mse-only,-219.433472
rht,mse-only,-614.360229
rht,mse-only,-240.222656
rht,mse-only,178.205139
rht,mse-only,-259.517273
rht,mse-only,-693.629822
rht,mse-only,-222.84314
rht,mse-only,-261.715942
rht,mse-only,-223.865356
rht,mse-only,-318.436462
rht,mse-only,-222.916138
rht,mse-only,-530.334412
rht,mse-only,-248.394287
rht,mse-only,-231.189453
rht,mse-only,-204.463379
rht,mse-only,-228.64209
rht,mse-only,-347.287231
rht,mse-only,-239.946838
rht,mse-only,-207.274658
rht,mse-only,-420.971436
rht,mse-only,-432.689575
rht,mse-only,-579.81665
rht,mse-only,215.041992
rht,mse-only,-535.242371
rht,mse-only,-251.566162
rht,mse-only,200.482788
rht,mse-only,-230.808105
rht,mse-only,-242.256836
rht,mse-only,-229.147705
rht,mse-only,209.655762
rht,mse-only,-689.728821
rht,mse-only,210.732788
rht,mse-only,-227.732056
rht,mse-only,-274.159485
rht,mse-only,-227.860474
rht,mse-only,-288.2211
rht,mse-only,-252.100952
rht,mse-only,-217.126831
rht,mse-only,-536.152283
rht,mse-only,-537.427673
rht,mse-only,-277.321381
rht,mse-only,-221.105835
rht,mse-only,-239.325684
rht,mse-only,-234.523682
rht,mse-only,-565.684509
rht,mse-only,211.474976
rht,mse-only,-232.945923
rht,mse-only,-554.886719
rht,mse-only,-529.877808
rht,mse-only,-226.55957
rht,mse-only,209.038208
rht,mse-only,-689.728821
rht,mse-only,-219.129883
rht,mse-only,-535.731079
rht,mse-only,220.805054
rht,mse-only,-265.882751
rht,mse-only,222.378784
rht,mse-only,-229.757568
rht,mse-only,-226.643799
rht,mse-only,-687.088806
rht,mse-only,-202.087158
rht,mse-only,-245.046753
rht,mse-only,-222.591797
rht,mse-only,-235.742554
rht,mse-only,-699.964233
rht,mse-only,178.67572
rht,mse-only,-567.062866
rht,mse-only,-568.50708
rht,mse-only,223.559814
rht,mse-only,-642.434814
rht,mse-only,-242.056335
rht,mse-only,-203.514038
rht,mse-only,-430.256958
rht,mse-only,-706.424927
rht,mse-only,-695.07782
rht,mse-only,-440.284302
rht,mse-only,208.876953
rht,mse-only,-230.02356
rht,mse-only,-235.144897
rht,mse-only,-216.292725
rht,mse-only,-232.246521
rht,mse-only,-235.483521
rht,mse-only,-297.683838
rht,mse-only,-398.869446
rht,mse-only,-216.664185
rht,mse-only,-250.056702
rht,mse-only,-727.683655
rht,mse-only,-220.167603
rht,mse-only,-266.326233
rht,mse-only,-240.365234
rht,mse-only,-235.08313
rht,mse-only,-232.527466
rht,mse-only,-222.510254
rht,mse-only,-222.295654
rht,mse-only,-571.11499
rht,mse-only,-230.423828
rht,mse-only,-228.115112
rht,mse-only,229.347778
rht,mse-only,-212.330811
rht,mse-only,-223.045898
rht,mse-only,-573.746643
rht,mse-only,-237.609497
rht,mse-only,-528.88031
rht,mse-only,-226.37854
rht,mse-only,-593.930786
rht,mse-only,-222.020386
rht,mse-only,-235.742554
rht,mse-only,-252.880127
rht,mse-only,-212.039062
rht,mse-only,-226.473572
rht,mse-only,-251.566162
rht,mse-only,-561.273315
rht,mse-only,-266.873413
rht,mse-only,-232.945923
rht,mse-only,-206.240723
rht,mse-only,-211.526001
rht,mse-only,-292.011627
rht,mse-only,-579.81665
rht,mse-only,230.0979
rht,mse-only,211.042725
rht,mse-only,-210.082031
rht,mse-only,197.455566
rht,mse-only,-223.937622
rht,mse-only,-260.219849
rht,mse-only,-264.052063
rht,mse-only,-240.80542
rht,mse-only,-223.937622
rht,mse-only,-288.752106
rht,mse-only,-222.296997
rht,mse-only,-683.598083
rht,mse-only,-205.578247
rht,mse-only,-691.841064
rht,mse-only,217.263428
rht,mse-only,-277.321381
rht,mse-only,-417.382263
rht,mse-only,-274.159485
rht,mse-only,-266.766113
rht,mse-only,-230.151489
rht,mse-only,-509.858398
rht,mse-only,-236.064819
rht,mse-only,210.221436
rht,mse-only,-201.110474
rht,mse-only,-286.010864
rht,mse-only,-262.295288
rht,mse-only,-234.562622
rht,mse-only,-240.95459
rht,mse-only,-244.880005
rht,mse-only,-410.515015
rht,mse-only,-219.867188
rht,mse-only,-502.640564
rht,mse-only,223.143677
rht,mse-only,-513.136353
rht,mse-only,-241.684448
rht,mse-only,-236.39856
rht,mse-only,199.615234
rht,mse-only,-227.553711
rht,mse-only,-232.423584
rht,mse-only,-599.655823
rht,mse-only,-220.509644
rht,mse-only,-234.775635
rht,mse-only,-244.9151
rht,mse-only,-225.449707
rht,mse-only,-724.946716
rht,mse-only,-250.056702
rht,mse-only,-238.198486
rht,mse-only,-249.596558
rht,mse-only,213.299683
rht,mse-only,-480.442688
rht,mse-only,-297.453735
rht,mse-only,-599.655823
rht,mse-only,-507.611328
rht,mse-only,-595.297852
rht,mse-only,-528.049316
rht,mse-only,207.525635
rht,mse-only,-532.335571
rht,mse-only,-224.11792
rht,mse-only,-412.166748
rht,mse-only,-226.858643
rht,mse-only,203.654907
rht,mse-only,-699.964233
rht,mse-only,-203.619263
rht,mse-only,-265.385925
rht,mse-only,-686.52356
rht,mse-only,-239.946838
rht,mse-only,-213.324097
rht,mse-only,-612.31543
rht,mse-only,-281.46814
rht,mse-only,-628.640137
rht,mse-only,-737.341064
rht,mse-only,211.661377
rht,mse-only,206.288696
rht,mse-only,-258.908142
rht,mse-only,-267.436157
rht,mse-only,-223.039673
rht,mse-only,215.384888
rht,mse-only,-522.891174
rht,mse-only,-225.046143
rht,mse-only,-210.025879
rht,mse-only,-246.144653
rht,mse-only,-351.177612
rht,mse-only,213.190063
rht,mse-only,-236.981689
rht,mse-only,-684.566467
rht,mse-only,-239.04895
rht,mse-only,-676.520691
rht,mse-only,229.681641
rht,mse-only,-232.196777
rht,mse-only,-228.688232
rht,mse-only,-238.358032
rht,mse-only,-228.464233
rht,mse-only,-267.891907
rht,mse-only,-704.050781
rht,mse-only,-661.003174
rht,mse-only,-532.201782
rht,mse-only,-249.448669
rht,mse-only,-263.105652
rht,mse-only,-464.6633
rht,mse-only,-571.380127
rht,mse-only,-728.421265
rht,mse-only,-515.893433
rht,mse-only,-213.584351
rht,mse-only,-232.176392
rht,mse-only,-221.908203
rht,mse-only,-459.202332
rht,mse-only,-678.352295
rht,mse-only,-203.112671
rht,mse-only,-230.348389
rht,mse-only,-266.602051
rht,mse-only,-532.829773
rht,mse-only,-689.142578
rht,mse-only,-417.013367
rht,mse-only,-556.245178
rht,mse-only,-219.63562
rht,mse-only,-267.684448
rht,mse-only,-216.246826
rht,mse-only,-219.318726
rht,mse-only,-620.369141
rht,mse-only,-513.560486
rht,mse-only,-313.721924
rht,mse-only,-699.822998
rht,mse-only,211.318604
rht,mse-only,-226.262451
rht,mse-only,196.855957
rht,mse-only,-728.421265
rht,mse-only,-539.483093
rht,mse-only,-250.662842
rht,mse-only,-443.954102
rht,mse-only,-262.814575
rht,mse-only,-309.652496
rht,mse-only,-589.881897
rht,mse-only,-226.867554
rht,mse-only,212.151733
rht,mse-only,-578.018982
rht,mse-only,-530.121826
rht,mse-only,195.699646
rht,mse-only,-293.134979
rht,mse-only,-564.008118
rht,mse-only,-296.946014
rht,mse-only,-229.078918
rht,mse-only,211.672852
rht,mse-only,-223.12854
rht,mse-only,-697.947571
rht,mse-only,208.37793
rht,mse-only,-214.029419
rht,mse-only,-289.414062
rht,mse-only,-737.341064
rht,mse-only,213.966553
rht,mse-only,-614.227478
rht,mse-only,-216.357178
rht,mse-only,-696.91571
rht,mse-only,-229.62085
rht,mse-only,-687.034485
rht,mse-only,-492.63916
rht,mse-only,-416.093201
rht,mse-only,-223.128662
rht,mse-only,-245.056946
rht,mse-only,203.582642
rht,mse-only,-317.075958
rht,mse-only,-685.290527
