layer,rotation,method,m,n_outliers,realized_bits,ip_bias,ip_abs_bias,ip_rmse,attn_kl
0,rht,direct,128,0,2.25,923.551331,923.551331,983.086121,26.178238
0,rht,direct+out,128,8,5.0,712.301697,712.301697,738.770386,91.0625
0,rht,direct,256,0,4.25,-484.066132,484.066132,519.029419,12.781671
0,rht,direct+out,256,8,7.0,253.733612,253.733612,279.39035,51.749657
0,rht,direct,512,0,8.25,-413.384399,413.384399,425.389221,22.72879
0,rht,direct+out,512,8,11.0,344.340424,344.340424,351.476593,8.768284
0,rht,direct,1024,0,16.25,180.613983,180.613983,185.187103,6.183446
0,rht,direct+out,1024,8,19.0,52.612659,52.612659,75.481606,23.334597
0,rht,mse-only,0,0,2.0,327.138824,327.138824,617.37085,129.012512
0,rht,prod-1b,64,0,2.25,298.63916,298.63916,999.964661,265.984436
0,rht,mse-only,0,0,3.0,-259.381744,259.381744,361.47168,55.325619
0,rht,prod-1b,64,0,3.25,-855.556824,855.556824,927.709412,72.881287
0,rht,mse-only,0,0,4.0,-166.22113,166.22113,209.755493,34.321922
0,rht,prod-1b,64,0,4.25,-4.459655,4.459655,107.437645,31.058331
0,none,direct,128,0,2.25,-1420.111816,1420.111816,1429.535522,33.419518
0,none,direct+out,128,8,5.0,65.587479,65.587479,194.430328,24.433554
0,none,direct,256,0,4.25,359.267639,359.267639,399.593414,25.716824
0,none,direct+out,256,8,7.0,631.21991,631.21991,638.75824,10.23433
0,none,direct,512,0,8.25,719.15509,719.15509,744.397156,45.088947
0,none,direct+out,512,8,11.0,532.289429,532.289429,534.441895,4.722698
0,none,direct,1024,0,16.25,419.80249,419.80249,431.097626,24.214127
0,none,direct+out,1024,8,19.0,222.504166,222.504166,228.260757,14.318789
0,none,mse-only,0,0,2.0,-2582.958252,2582.958252,2584.552979,1.309994
0,none,prod-1b,64,0,2.25,1169.669189,1169.669189,1560.740967,42.603451
0,none,mse-only,0,0,3.0,-1078.29248,1078.29248,1078.912598,1.176791
0,none,prod-1b,64,0,3.25,1001.887939,1001.887939,1164.223511,94.756439
0,none,mse-only,0,0,4.0,-324.817383,324.817383,325.070404,0.784522
0,none,prod-1b,64,0,4.25,952.889893,952.889893,1144.770142,43.089848
6,rht,direct,128,0,2.25,7.476092,7.476092,14.724427,0.703392
6,rht,direct+out,128,8,5.0,0.939416,0.939416,10.051566,0.526953
