rotation,method,ip_err
rht,direct-m512-o8,418.577026
rht,direct-m512-o8,379.244385
rht,direct-m512-o8,284.074097
rht,direct-m512-o8,376.149292
rht,direct-m512-o8,394.551636
rht,direct-m512-o8,397.315796
rht,direct-m512-o8,371.939331
rht,direct-m512-o8,239.029297
rht,direct-m512-o8,395.706055
rht,direct-m512-o8,246.912231
rht,direct-m512-o8,252.646729
rht,direct-m512-o8,305.010742
rht,direct-m512-o8,241.009399
rht,direct-m512-o8,345.210571
rht,direct-m512-o8,290.327087
rht,direct-m512-o8,395.737427
rht,direct-m512-o8,340.044556
rht,direct-m512-o8,163.897217
rht,direct-m512-o8,377.016113
rht,direct-m512-o8,311.9646
rht,direct-m512-o8,444.960571
rht,direct-m512-o8,270.996338
rht,direct-m512-o8,320.458008
rht,direct-m512-o8,397.924683
rht,direct-m512-o8,163.459717
rht,direct-m512-o8,417.807251
rht,direct-m512-o8,245.224487
rht,direct-m512-o8,369.918823
rht,direct-m512-o8,414.298645
rht,direct-m512-o8,364.61499
rht,direct-m512-o8,324.925781
rht,direct-m512-o8,295.071899
rht,direct-m512-o8,429.464478
rht,direct-m512-o8,384.689331
rht,direct-m512-o8,402.467163
rht,direct-m512-o8,404.177429
rht,direct-m512-o8,363.157471
rht,direct-m512-o8,341.602783
rht,direct-m512-o8,408.349854
rht,direct-m512-o8,340.499023
rht,direct-m512-o8,380.478882
rht,direct-m512-o8,248.336304
rht,direct-m512-o8,420.970764
rht,direct-m512-o8,449.090393
rht,direct-m512-o8,336.23645
rht,direct-m512-o8,178.855469
rht,direct-m512-o8,374.291382
rht,direct-m512-o8,472.792725
rht,direct-m512-o8,387.098755
rht,direct-m512-o8,330.961548
rht,direct-m512-o8,258.195801
rht,direct-m512-o8,364.693481
rht,direct-m512-o8,370.274658
rht,direct-m512-o8,359.334961
rht,direct-m512-o8,267.234985
rht,direct-m512-o8,265.562866
rht,direct-m512-o8,222.728088
rht,direct-m512-o8,318.080322
rht,direct-m512-o8,386.312012
rht,direct-m512-o8,419.673096
rht,direct-m512-o8,282.387085
rht,direct-m512-o8,397.951294
rht,direct-m512-o8,342.018677
rht,direct-m512-o8,362.783203
rht,direct-m512-o8,340.295776
rht,direct-m512-o8,386.00177
rht,direct-m512-o8,313.456055
rht,direct-m512-o8,363.157471
rht,direct-m512-o8,311.331665
rht,direct-m512-o8,205.923401
rht,direct-m512-o8,427.312134
rht,direct-m512-o8,375.755005
rht,direct-m512-o8,401.963257
rht,direct-m512-o8,360.76001
rht,direct-m512-o8,319.426025
rht,direct-m512-o8,200.577026
rht,direct-m512-o8,299.210388
rht,direct-m512-o8,351.850769
rht,direct-m512-o8,205.923401
rht,direct-m512-o8,417.4198
rht,direct-m512-o8,361.684082
rht,direct-m512-o8,337.817383
rht,direct-m512-o8,394.951416
rht,direct-m512-o8,405.226135
rht,direct-m512-o8,276.528198
rht,direct-m512-o8,342.664795
rht,direct-m512-o8,250.461792
rht,direct-m512-o8,315.081909
rht,direct-m512-o8,351.422363
rht,direct-m512-o8,424.236084
rht,direct-m512-o8,218.677124
rht,direct-m512-o8,186.130615
rht,direct-m512-o8,288.208984
rht,direct-m512-o8,348.3302
rht,direct-m512-o8,266.541504
rht,direct-m512-o8,200.017822
rht,direct-m512-o8,359.115295
rht,direct-m512-o8,308.223999
rht,direct-m512-o8,378.682129
rht,direct-m512-o8,398.24231
rht,direct-m512-o8,336.808105
rht,direct-m512-o8,240.788086
rht,direct-m512-o8,401.963257
rht,direct-m512-o8,365.138306
rht,direct-m512-o8,298.189087
rht,direct-m512-o8,302.665283
rht,direct-m512-o8,373.481689
rht,direct-m512-o8,419.857849
rht,direct-m512-o8,249.410889
rht,direct-m512-o8,155.796021
rht,direct-m512-o8,294.825073
rht,direct-m512-o8,353.480896
rht,direct-m512-o8,185.360718
rht,direct-m512-o8,327.263428
rht,direct-m512-o8,369.40271
rht,direct-m512-o8,319.129761
rht,direct-m512-o8,288.266846
rht,direct-m512-o8,238.855103
rht,direct-m512-o8,172.637695
rht,direct-m512-o8,461.003113
rht,direct-m512-o8,440.573059
rht,direct-m512-o8,384.611206
rht,direct-m512-o8,317.828613
rht,direct-m512-o8,412.29126
rht,direct-m512-o8,392.034302
rht,direct-m512-o8,248.981689
rht,direct-m512-o8,404.109863
rht,direct-m512-o8,250.71875
rht,direct-m512-o8,396.971069
rht,direct-m512-o8,400.610962
rht,direct-m512-o8,337.048218
